"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,11.0402597402597,4,22,23,0.405295467903613
"pl2",1.75,5.997113997114,4,12,12,0.221352426322904
"pl3",2.5,1.99023199023199,3,2,4,0.0780499314189012
"pl4",1.75,5.12568542568543,4,10,10,0.171201157417686
"pl5",2.75,1.43030303030303,2,0,3,0.0461307486557658
"pl6",1.25,7.41428571428571,4,7,14,0.287627985356361
"pl7",2,3.80952380952381,4,3,7,0.152119390299798
"pl8",1.5,6.63044733044733,4,10,13,0.249860033935742
"pl9",2,2.7047619047619,4,0,4,0.109604373281889
"pl10",2.5,2.44617604617605,3,0,5,0.10145050574663
"pl11",2,3.33679653679654,4,5,6,0.120375549457053
"pl12",2.75,1.23809523809524,2,1,3,0.0476467263199985
"pl13",2.5,2.1047619047619,3,1,4,0.0834245988862434
"pl14",2.5,2.91284271284271,3,1,6,0.113286941127478
"pl15",2.75,0.8,1,0,1,0.0331206584139603
"pl16",2.25,2.47619047619048,3,4,5,0.0875662802707971
"pl17",2.75,0.666666666666667,1,0,1,0.0265780087780218
"pl18",2.75,1.95213675213675,3,2,4,0.0628586661066131
"pl19",3,0.94949494949495,2,1,3,0.0103970786480768
"pl20",2.75,0.952380952380952,1,0,2,0.0270603844285052
"pl21",2.5,1.68253968253968,3,0,3,0.0629137618855535
"pl22",3,0.808080808080808,2,0,2,0.0153684766688848
"pl23",3.25,0.727272727272727,2,0,2,0.00822456012960742
"pl24",2.75,0.571428571428571,1,0,1,0.0312709137350727
"pl25",2.75,0.571428571428571,1,0,1,0.0312709137350727
"pl26",Inf,0,1,0,1,0
"pl27",3,0.444444444444444,1,0,1,0.0188096987957141
"pl28",3,0.444444444444444,1,0,1,0.0151450006181174
"pl29",Inf,0,1,0,1,0
"pl30",2.75,0.571428571428571,1,0,1,0.0312709137350727
"pl31",4,0.363636363636364,1,0,1,0.00280164848473342
"pol1",1.75,6.73708513708514,4,16,14,0.234215085447037
"pol2",1.25,6.13679653679654,4,6,11,0.248069433026748
"pol3",1.5,5.3987012987013,4,8,10,0.199065836377359
"pol4",1.5,5.24617604617605,4,4,9,0.215071275758854
"pol5",2.75,1.33799533799534,2,0,3,0.0406169044191168
"pol6",2.25,3.43333333333333,3,2,6,0.14088220280337
"pol7",1.75,3.77142857142857,4,1,6,0.158715985949223
"pol8",2.25,3.13506493506494,3,2,6,0.113434089068186
"pol9",2.75,1.72435897435897,2,1,5,0.0209839835446969
"pol10",1.75,3.98253968253968,4,1,6,0.183191123940546
"pol11",2.25,2.3,3,1,4,0.0941239121403755
"pol12",2.75,1.8,3,0,3,0.0827828649632571
"pol13",2,3.03809523809524,4,0,4,0.148732169225618
"pol14",1.75,3.60952380952381,4,0,5,0.178285742238992
"pol15",2.5,2.73506493506493,3,1,5,0.116291222051772
"pol16",2.25,2.07142857142857,3,0,3,0.0972801923795466
"pol17",2.5,1.93506493506493,2,0,3,0.0898251402731639
"pol18",2.5,2.16363636363636,3,0,3,0.100907238370721
"pol19",2.25,2.63809523809524,3,0,4,0.13057081171728
"pol20",2.5,1.97142857142857,3,0,3,0.0972110836189215
"pol21",2.5,1.57142857142857,2,0,2,0.0769701755314964
"pol22",2.25,2.46666666666667,3,0,3,0.125874475773743
"pol23",2.25,2.37142857142857,3,0,3,0.122068320688759
"pol24",2.25,2.46666666666667,3,0,3,0.125874475773743
"pol25",2.75,0.571428571428571,1,0,1,0.0295535730133737
"pol26",3,0.8,2,0,2,0.0262636780492663
"pol27",2.75,1,1,0,1,0.0541124820796215
"pol28",2.75,0.571428571428571,1,0,1,0.0295535730133737
"pol29",4.5,0.333333333333333,1,0,1,0.00138815204358088
"pol30",2.75,0.571428571428571,1,0,1,0.0228576934518749
"pol31",2.75,1,1,0,1,0.0541124820796215
"pol32",3.75,0.363636363636364,1,0,1,0.00636148890951012
"pol33",3.25,0.4,1,0,1,0.0104207321563867
"pol34",2.75,0.571428571428571,1,0,1,0.0228576934518749
"pol35",2.75,0.666666666666667,1,0,1,0.0333597280983584
"pol36",2.75,1.33333333333333,2,0,2,0.0555006341232024
"pol37",3.25,0.363636363636364,1,0,1,0.00839249069533621
"pol38",3.5,0.363636363636364,1,0,1,0.00361293101802804
"pol39",3,0.444444444444444,1,0,1,0.0116912947397169
"pol40",Inf,0,1,0,1,0
"pol41",2.75,0.5,1,0,1,0.0160717804137116
"pol42",Inf,0,1,0,1,0
"pol43",3,0.444444444444444,1,0,1,0.0116912947397169
