"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",2,2.32043745727956,3,0,4,0.171930652158059
"pl2",1.25,5.30780587833219,3,7,11,0.344447654094441
"pl3",2,2.14736842105263,3,0,4,0.17237192763146
"pl4",2,2.32043745727956,3,0,4,0.184698869804118
"pl5",1.75,3.50031323367708,3,3,7,0.217347010915676
"pl6",2.5,1.75151515151515,2,1,3,0.13022774118841
"pl7",2.25,1.89186602870813,3,0,3,0.160774734938857
"pl8",2,2.49186602870813,3,0,4,0.21633894457918
"pl9",2.75,0.6,1,0,1,0.0529398490231972
"pl10",2.25,2.28317037653422,3,1,4,0.17530127331727
"pl11",2,2.68043745727956,3,2,5,0.180334495918722
"pl12",2.75,0.473684210526316,1,0,1,0.0302455795439168
"pl13",2.75,0.818181818181818,1,0,1,0.073114264534044
"pl14",2.75,1.17818181818182,2,0,2,0.0874130913566489
"pl15",2.5,1.41818181818182,2,0,2,0.133153516012066
"pl16",2.5,1.41818181818182,2,0,2,0.133153516012066
"pl17",3.25,0.36,1,0,1,0.014298826822605
"pl18",2.5,1.2,2,0,2,0.112979100501219
"pl19",2.75,0.818181818181818,1,0,1,0.073114264534044
"pl20",3,0.6,1,0,1,0.060039251478022
"pl21",3.5,0.391304347826087,1,0,1,0.0130005097188805
"pl22",3,0.6,1,0,1,0.0600392514780219
"pl23",3,0.6,1,0,1,0.0600392514780219
"pl24",2.75,0.6,1,0,1,0.0529398490231972
"pl25",3,0.6,1,0,1,0.0600392514780219
"disp1",1.22222222222222,6.55122655122655,3,8,14,0.408410613894448
"disp2",1.66666666666667,5.72222222222222,3,11,13,0.335374604534038
"disp3",1.66666666666667,4.8987012987013,3,6,10,0.295717892764632
"disp4",2.11111111111111,2.31587301587302,3,0,4,0.162814265532563
"disp5",2.11111111111111,2.66363636363636,3,2,5,0.168949462705362
"disp6",2.33333333333333,1.87142857142857,3,0,3,0.133638362766614
"disp7",2.33333333333333,1.57142857142857,3,0,3,0.101972800552989
"disp8",2.77777777777778,1.47132867132867,2,1,3,0.0798721381909177
"disp9",2.11111111111111,2.24444444444444,3,0,4,0.154289987737636
"disp10",2.55555555555556,1.3015873015873,2,1,3,0.0726198394946097
"disp11",3,0.4,1,0,1,0.0233135604095276
"disp12",2.77777777777778,0.571428571428571,1,0,1,0.0389097793033349
"disp13",2.77777777777778,0.8,1,0,1,0.0616635220604246
"disp14",2.77777777777778,0.8,1,0,1,0.0616635220604246
"disp15",2.77777777777778,0.8,1,0,1,0.0616635220604246
"disp16",2.77777777777778,0.5,1,0,1,0.0322837448162464
