"","area_NoOrder","area_Krad","area_KshKrad","area_MR","area_Krisk","area_KriskKdegree","area_Kdegree","area_Degree","area_eigenc","Network","best"
"1",1,1,1,0.316,0.253,1,0.221,0.222,0.255,"M_PL_001.csv",0.221
"2",1,1,1,0.434,0.348,1,0.324,0.323,0.32,"M_PL_002.csv",0.324
"3",1,1,1,0.218,0.204,1,0.21,0.207,0.215,"M_PL_003.csv",0.204
"4",1,1,1,0.466,0.363,1,0.363,0.363,0.384,"M_PL_004.csv",0.363
"5",1,1,1,0.438,0.315,1,0.293,0.289,0.348,"M_PL_005.csv",0.293
"6",1,1,1,0.437,0.39,1,0.393,0.392,0.393,"M_PL_006.csv",0.39
"7",1,1,1,0.447,0.334,1,0.322,0.327,0.351,"M_PL_007.csv",0.322
"8",1,1,1,0.479,0.446,1,0.437,0.446,0.439,"M_PL_008.csv",0.437
"9",1,1,1,0.433,0.282,1,0.269,0.27,0.32,"M_PL_009.csv",0.269
"10",1,1,1,0.509,0.488,1,0.478,0.479,0.497,"M_PL_010.csv",0.478
"11",1,1,1,0.417,0.42,1,0.411,0.411,0.398,"M_PL_011.csv",0.411
"12",1,1,1,0.345,0.294,1,0.302,0.284,0.317,"M_PL_012.csv",0.294
"13",1,1,1,0.472,0.333,1,0.331,0.326,0.383,"M_PL_013.csv",0.331
"14",1,1,1,0.438,0.367,1,0.368,0.373,0.468,"M_PL_014.csv",0.367
"15",1,1,1,0.478,0.414,1,0.399,0.399,0.418,"M_PL_015.csv",0.399
"16",1,1,1,0.469,0.326,1,0.323,0.324,0.395,"M_PL_016.csv",0.323
"17",1,1,1,0.458,0.412,1,0.418,0.415,0.423,"M_PL_017.csv",0.412
"18",1,1,1,0.45,0.348,1,0.343,0.342,0.358,"M_PL_018.csv",0.343
"19",1,1,1,0.444,0.346,1,0.308,0.308,0.327,"M_PL_019.csv",0.308
"20",1,1,1,0.443,0.342,1,0.34,0.341,0.389,"M_PL_020.csv",0.34
"21",1,1,1,0.456,0.314,1,0.214,0.244,0.407,"M_PL_021.csv",0.214
"22",1,1,1,0.418,0.308,1,0.286,0.287,0.386,"M_PL_022.csv",0.286
"23",1,1,1,0.433,0.284,1,0.28,0.293,0.29,"M_PL_023.csv",0.28
"24",1,1,1,0.503,0.339,1,0.339,0.306,0.339,"M_PL_024.csv",0.339
"25",1,1,1,0.453,0.446,1,0.448,0.444,0.458,"M_PL_025.csv",0.446
"26",1,1,1,0.324,0.209,1,0.216,0.221,0.197,"M_PL_026.csv",0.209
"27",1,1,1,0.459,0.272,1,0.267,0.267,0.291,"M_PL_027.csv",0.267
"28",1,1,1,0.444,0.378,1,0.348,0.334,0.374,"M_PL_028.csv",0.348
"29",1,1,1,0.427,0.327,1,0.3,0.298,0.327,"M_PL_029.csv",0.3
"30",1,1,1,0.466,0.27,1,0.251,0.263,0.348,"M_PL_030.csv",0.251
"31",1,1,1,0.319,0.241,1,0.26,0.224,0.286,"M_PL_031.csv",0.241
"32",1,1,1,0.432,0.387,1,0.398,0.39,0.395,"M_PL_032.csv",0.387
"33",1,1,1,0.533,0.489,1,0.491,0.491,0.516,"M_PL_033.csv",0.489
"34",1,1,1,0.449,0.361,1,0.358,0.356,0.366,"M_PL_034.csv",0.358
"35",1,1,1,0.364,0.337,1,0.35,0.321,0.36,"M_PL_035.csv",0.337
"36",1,1,1,0.371,0.292,1,0.279,0.279,0.292,"M_PL_036.csv",0.279
"37",1,1,1,0.401,0.296,1,0.265,0.265,0.3,"M_PL_037.csv",0.265
"38",1,1,1,0.437,0.387,1,0.382,0.39,0.437,"M_PL_038.csv",0.382
"39",1,1,1,0.427,0.297,1,0.305,0.302,0.308,"M_PL_039.csv",0.297
"40",1,1,1,0.404,0.37,1,0.304,0.304,0.416,"M_PL_040.csv",0.304
"41",1,1,1,0.439,0.319,1,0.334,0.322,0.355,"M_PL_041.csv",0.319
"42",1,1,1,0.383,0.317,1,0.317,0.317,0.317,"M_PL_042.csv",0.317
"43",1,1,1,0.458,0.354,1,0.356,0.354,0.396,"M_PL_043.csv",0.354
"44",1,1,1,0.441,0.331,1,0.206,0.216,0.367,"M_PL_044.csv",0.206
"45",1,1,1,0.425,0.353,1,0.356,0.332,0.35,"M_PL_045.csv",0.353
"46",1,1,1,0.506,0.498,1,0.502,0.502,0.499,"M_PL_046.csv",0.498
"47",1,1,1,0.463,0.369,1,0.368,0.369,0.362,"M_PL_047.csv",0.368
"48",1,1,1,0.472,0.389,1,0.392,0.389,0.4,"M_PL_048.csv",0.389
"49",1,1,1,0.466,0.335,1,0.327,0.326,0.396,"M_PL_049.csv",0.327
"50",1,1,1,0.407,0.338,1,0.326,0.326,0.321,"M_PL_050.csv",0.326
"51",1,1,1,0.438,0.333,1,0.332,0.334,0.376,"M_PL_051.csv",0.332
"52",1,1,1,0.45,0.301,1,0.299,0.301,0.338,"M_PL_052.csv",0.299
"53",1,1,1,0.405,0.234,1,0.204,0.209,0.215,"M_PL_053.csv",0.204
"54",1,1,1,0.434,0.248,1,0.228,0.235,0.329,"M_PL_054.csv",0.228
"55",1,1,1,0.444,0.312,1,0.245,0.234,0.356,"M_PL_055.csv",0.245
"56",1,1,1,0.414,0.297,1,0.237,0.242,0.35,"M_PL_056.csv",0.237
"57",1,1,1,0.46,0.33,1,0.251,0.232,0.336,"M_PL_057.csv",0.251
"58",1,1,1,0.43,0.37,1,0.37,0.365,0.384,"M_PL_058.csv",0.37
"59",1,1,1,0.408,0.392,1,0.395,0.395,0.395,"M_PL_059.csv",0.392
"60",1,1,1,0.449,0.385,1,0.385,0.385,0.385,"M_SD_001.csv",0.385
"61",1,1,1,0.49,0.49,1,0.49,0.49,0.49,"M_SD_002.csv",0.49
"62",1,1,1,0.333,0.314,1,0.283,0.286,0.283,"M_SD_003.csv",0.283
"63",1,1,1,0.251,0.232,1,0.229,0.232,0.245,"M_SD_004.csv",0.229
"64",1,1,1,0.365,0.257,1,0.257,0.272,0.257,"M_SD_005.csv",0.257
"65",1,1,1,0.344,0.305,1,0.305,0.305,0.302,"M_SD_006.csv",0.305
"66",1,1,1,0.243,0.243,1,0.243,0.243,0.243,"M_SD_007.csv",0.243
"67",1,1,1,0.606,0.61,1,0.622,0.618,0.626,"M_SD_008.csv",0.606
"68",1,1,1,0.394,0.329,1,0.333,0.333,0.301,"M_SD_009.csv",0.329
"69",1,1,1,0.488,0.493,1,0.515,0.504,0.519,"M_SD_010.csv",0.488
"70",1,1,1,0.474,0.455,1,0.44,0.44,0.44,"M_SD_011.csv",0.44
"71",1,1,1,0.36,0.328,1,0.357,0.344,0.361,"M_SD_012.csv",0.328
"72",1,1,1,0.477,0.519,1,0.605,0.554,0.59,"M_SD_013.csv",0.477
"73",1,1,1,0.498,0.502,1,0.507,0.507,0.507,"M_SD_014.csv",0.498
"74",1,1,1,0.525,0.53,1,0.53,0.53,0.53,"M_SD_015.csv",0.525
"75",1,1,1,0.495,0.484,1,0.485,0.485,0.485,"M_SD_016.csv",0.484
"76",1,1,1,0.584,0.573,1,0.584,0.573,0.584,"M_SD_017.csv",0.573
"77",1,1,1,0.411,0.21,1,0.168,0.175,0.223,"M_SD_018.csv",0.168
"78",1,1,1,0.353,0.373,1,0.386,0.384,0.406,"M_SD_019.csv",0.353
"79",1,1,1,0.413,0.413,1,0.422,0.416,0.423,"M_SD_020.csv",0.413
"80",1,1,1,0.459,0.459,1,0.462,0.459,0.463,"M_SD_021.csv",0.459
"81",1,1,1,0.368,0.352,1,0.351,0.351,0.381,"M_SD_022.csv",0.351
"82",1,1,1,0.386,0.393,1,0.386,0.386,0.386,"M_SD_023.csv",0.386
"83",1,1,1,0.492,0.5,1,0.508,0.508,0.508,"M_SD_024.csv",0.492
"84",1,1,1,0.462,0.462,1,0.462,0.462,0.462,"M_SD_025.csv",0.462
"85",1,1,1,0.417,0.417,1,0.417,0.417,0.417,"M_SD_026.csv",0.417
"86",1,1,1,0.471,0.471,1,0.471,0.471,0.471,"M_SD_027.csv",0.471
"87",1,1,1,0.445,0.445,1,0.445,0.445,0.445,"M_SD_028.csv",0.445
"88",1,1,1,0.467,0.467,1,0.467,0.467,0.467,"M_SD_029.csv",0.467
"89",1,1,1,0.458,0.458,1,0.458,0.458,0.458,"M_SD_030.csv",0.458
