"","Network","Method","Performance"
"3","M_PL_001","MusRank",24.75
"8","M_PL_002","MusRank",31.25
"12","M_PL_003","KshKrad",16
"18","M_PL_004","MusRank",14.71
"23","M_PL_005","MusRank",19.64
"28","M_PL_006","MusRank",16.39
"33","M_PL_007","MusRank",25
"38","M_PL_008","MusRank",63.16
"43","M_PL_009","MusRank",28.81
"48","M_PL_010","MusRank",64.47
"51","M_PL_011","Degree",46.15
"52","M_PL_011","KshKrad",46.15
"53","M_PL_011","MusRank",46.15
"54","M_PL_011","Kdegree",46.15
"55","M_PL_011","Krisk",46.15
"56","M_PL_012","Degree",16.36
"58","M_PL_012","MusRank",16.36
"63","M_PL_013","MusRank",33.93
"68","M_PL_014","MusRank",17.28
"73","M_PL_015","MusRank",32.58
"78","M_PL_016","MusRank",30.17
"83","M_PL_017","MusRank",27.85
"88","M_PL_018","MusRank",40.95
"93","M_PL_019","MusRank",27.06
"98","M_PL_020","MusRank",17.58
"103","M_PL_021","MusRank",6.35
"108","M_PL_022","MusRank",17.78
"113","M_PL_023","MusRank",15.28
"118","M_PL_024","MusRank",33.33
"123","M_PL_025","MusRank",38.64
"128","M_PL_026","MusRank",12.96
"133","M_PL_027","MusRank",43.33
"138","M_PL_028","MusRank",28.78
"143","M_PL_029","MusRank",27.12
"148","M_PL_030","MusRank",35.85
"153","M_PL_031","MusRank",24.49
"158","M_PL_032","MusRank",21.21
"161","M_PL_033","Degree",73.53
"162","M_PL_033","KshKrad",73.53
"164","M_PL_033","Kdegree",73.53
"165","M_PL_033","Krisk",73.53
"168","M_PL_034","MusRank",10.16
"173","M_PL_035","MusRank",22.22
"176","M_PL_036","Degree",41.67
"177","M_PL_036","KshKrad",41.67
"178","M_PL_036","MusRank",41.67
"179","M_PL_036","Kdegree",41.67
"180","M_PL_036","Krisk",41.67
"183","M_PL_037","MusRank",50
"188","M_PL_038","MusRank",45.24
"193","M_PL_039","MusRank",23.53
"198","M_PL_040","MusRank",25.58
"203","M_PL_041","MusRank",32.56
"206","M_PL_042","Degree",33.33
"207","M_PL_042","KshKrad",33.33
"208","M_PL_042","MusRank",33.33
"209","M_PL_042","Kdegree",33.33
"210","M_PL_042","Krisk",33.33
"213","M_PL_043","MusRank",42.68
"218","M_PL_044","MusRank",12.81
"223","M_PL_045","MusRank",23.08
"228","M_PL_046","MusRank",72.73
"233","M_PL_047","MusRank",21.51
"238","M_PL_048","MusRank",28.39
"243","M_PL_049","MusRank",28
"248","M_PL_050","MusRank",37.14
"253","M_PL_051","MusRank",25.56
"258","M_PL_052","MusRank",35.9
"263","M_PL_053","MusRank",16.33
"268","M_PL_054","MusRank",17.92
"273","M_PL_055","MusRank",19.49
"278","M_PL_056","MusRank",19.45
"283","M_PL_057","MusRank",9.74
"288","M_PL_058","MusRank",43.21
"291","M_PL_059","Degree",30.77
"292","M_PL_059","KshKrad",30.77
"293","M_PL_059","MusRank",30.77
"294","M_PL_059","Kdegree",30.77
"295","M_PL_059","Krisk",30.77
"298","M_SD_001","MusRank",42.86
"303","M_SD_002","MusRank",55.56
"306","M_SD_003","Degree",25
"307","M_SD_003","KshKrad",25
"308","M_SD_003","MusRank",25
"309","M_SD_003","Kdegree",25
"311","M_SD_004","Degree",15
"312","M_SD_004","KshKrad",15
"313","M_SD_004","MusRank",15
"314","M_SD_004","Kdegree",15
"315","M_SD_004","Krisk",15
"316","M_SD_005","Degree",23.08
"317","M_SD_005","KshKrad",23.08
"319","M_SD_005","Kdegree",23.08
"320","M_SD_005","Krisk",23.08
"322","M_SD_006","KshKrad",20
"326","M_SD_007","Degree",28.57
"327","M_SD_007","KshKrad",28.57
"328","M_SD_007","MusRank",28.57
"329","M_SD_007","Kdegree",28.57
"330","M_SD_007","Krisk",28.57
"331","M_SD_008","Degree",80
"332","M_SD_008","KshKrad",80
"333","M_SD_008","MusRank",80
"334","M_SD_008","Kdegree",80
"335","M_SD_008","Krisk",80
"336","M_SD_009","Degree",38.89
"337","M_SD_009","KshKrad",38.89
"338","M_SD_009","MusRank",38.89
"339","M_SD_009","Kdegree",38.89
"340","M_SD_009","Krisk",38.89
"341","M_SD_010","Degree",57.14
"343","M_SD_010","MusRank",57.14
"345","M_SD_010","Krisk",57.14
"348","M_SD_011","MusRank",50
"353","M_SD_012","MusRank",37.93
"358","M_SD_013","MusRank",47.37
"363","M_SD_014","MusRank",47.06
"368","M_SD_015","MusRank",85.19
"373","M_SD_016","MusRank",60.66
"376","M_SD_017","Degree",75
"377","M_SD_017","KshKrad",75
"378","M_SD_017","MusRank",75
"379","M_SD_017","Kdegree",75
"380","M_SD_017","Krisk",75
"383","M_SD_018","MusRank",28.12
"388","M_SD_019","MusRank",25
"390","M_SD_019","Krisk",25
"393","M_SD_020","MusRank",27.27
"398","M_SD_021","MusRank",39.29
"403","M_SD_022","MusRank",30.91
"406","M_SD_023","Degree",37.5
"407","M_SD_023","KshKrad",37.5
"408","M_SD_023","MusRank",37.5
"409","M_SD_023","Kdegree",37.5
"411","M_SD_024","Degree",57.14
"412","M_SD_024","KshKrad",57.14
"413","M_SD_024","MusRank",57.14
"414","M_SD_024","Kdegree",57.14
"418","M_SD_025","MusRank",50
"421","M_SD_026","Degree",33.33
"422","M_SD_026","KshKrad",33.33
"423","M_SD_026","MusRank",33.33
"424","M_SD_026","Kdegree",33.33
"425","M_SD_026","Krisk",33.33
"426","M_SD_027","Degree",75
"427","M_SD_027","KshKrad",75
"428","M_SD_027","MusRank",75
"429","M_SD_027","Kdegree",75
"430","M_SD_027","Krisk",75
"431","M_SD_028","Degree",60
"432","M_SD_028","KshKrad",60
"433","M_SD_028","MusRank",60
"434","M_SD_028","Kdegree",60
"435","M_SD_028","Krisk",60
"436","M_SD_029","Degree",40
"437","M_SD_029","KshKrad",40
"438","M_SD_029","MusRank",40
"439","M_SD_029","Kdegree",40
"440","M_SD_029","Krisk",40
"441","M_SD_030","Degree",75
"442","M_SD_030","KshKrad",75
"443","M_SD_030","MusRank",75
"444","M_SD_030","Kdegree",75
"445","M_SD_030","Krisk",75
