"","Anthriscus aemula","Hydrangea paniculata","Euonymus alatus","Hydrangea macrophylla","Hydrangea hirta","Weigela hortensis","Viburnum plicatum","Angelica pubescens","Astilbe thunbergii","Swida controversa","Deutzia crenata","Rabdosia trichocarpa","Symplocos chinensis","Castanea crenata","Prunus Grayana","Prunus salicina","Rhus javanica","Persicaria thunbergii","Ixeris dentata","Corydalis pallida","Prunus incisa","Corydalis lineariloba","Lysimachia clethroides","Salix gracilistyla","Phellodendron amurense","Cardiandra alternifolia","Reynoutria japonica","Viola verecunda","Geranium nepalense","Ampelopsis brevipedunculata","Anemone flaccida","Cirsium kagamontanum","Persicaria pubescens","Viola kusanoana","Viola vaginata","Stenactis annuus","Aster glehni","Rubus microphyllus","Spuriopimpinella nikoensis","Cacalia delphiniifolia","Persicaria senticosa","Hovenia tomentella","Ligustrum obtusifolium","Aruncus dioicus","Lespedeza bicolor","Euonymus sieboldianus","Kalimeris yomena","Rubus palmatus","Impatiens textori","Oxalis griffithii","Rhus trichocarpa","Rosa multiflora","Rubus illecebrosus","Styrax japonica","Acer rufinerve","Adenocaulon himalaicum","Aesculus turbinata","Agrimonia pilosa","Angelica polymorpha","Bistorta tenuicaulis","Caryopteris divaricata","Geum japonicum","Rabdosia longituba","Rubus parvifolius","Stachyurus praecox","Ainsliaea acerifolia","Alangium platanifolium","Antenoron filiforme","Aucuba japonica","Benthamida kousa","Carpesium divaricatum","Cirsium japonicum","Clinopodium micranthum","Commelina communis","Cryptotaenia japonica","Desmodium podocarpum","Disporum sessile","Epimedium grandiflorum","Impatiens noli-tangere","Magnolia salicifolia","Patrinia villosa","Persicaria aestiva","Petasites japonicus","Plantago asiatica","Polygonatum macranthum","Salvia glabrescens","Siegesbeckia orientalis","Tricyrtis hirta","Trifolium repens","Tripterospermum japonicum","Viola grypoceras"
"Bombus diversus diversus",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"Bombus honshuensis",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Ceratina megastigmata ",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Eristalis cerealis ",1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum apristum",1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bombus hypocrita hypocrita",0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis cerana ",0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lasioglossum transpositum",1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellistena sp1 M_PL_021",1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_021",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_021",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria menthastri",1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
