"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.22222222222222,10.1720640915149,7,19,16,0.262860667380881
"pl2",1.44444444444444,9.2397563992072,7,22,15,0.238519230338895
"pl3",1,8.43416583416583,7,3,11,0.202241234090905
"pl4",1,8.0055944055944,7,1,10,0.181479504410188
"pl5",1,7.87927861612072,7,2,10,0.18661176777087
"pl6",1.22222222222222,7.31328671328671,7,1,9,0.167165038137062
"pl7",1.44444444444444,6.96878910563121,7,3,9,0.168634068740585
"pl8",1.44444444444444,6.62097902097902,7,1,8,0.151727258490926
"pl9",2.11111111111111,5.19535384523943,5,0,8,0.166063208552429
"pl10",2.11111111111111,5.19535384523943,5,0,8,0.166063208552429
"pl11",1.44444444444444,5.8951048951049,7,0,7,0.130617906855672
"pl12",2.77777777777778,3.46747303040209,5,2,7,0.120085393713417
"pl13",2.55555555555556,3.79535384523943,5,2,7,0.120452599461774
"pl14",3,2.25093167701863,4,2,6,0.0762343269845105
"pl15",3,2.30200719189278,4,3,6,0.0830381427429874
"pl16",1.88888888888889,4.2027972027972,5,0,5,0.0951344886560155
"pl17",2.55555555555556,3.02936194240542,5,0,5,0.108007213182761
"pl18",3,1.68486433474992,4,0,4,0.0773295088488335
"pl19",2.77777777777778,2.2111801242236,4,0,4,0.0851636671035422
"pl20",2.77777777777778,2.38260869565217,4,0,4,0.0781055226249961
"pl21",3,1.68486433474992,4,0,4,0.0773295088488335
"pl22",2.77777777777778,2.2111801242236,4,0,4,0.0851636671035422
"pl23",2.77777777777778,1.90348781653129,4,0,4,0.0731853573684382
"pl24",3,1.68486433474992,4,0,4,0.0773295088488335
"pl25",2.33333333333333,2.2027972027972,3,0,3,0.055963668851293
"pl26",2.77777777777778,1.65186602870813,3,0,3,0.0457332398847162
"pl27",3.22222222222222,0.782608695652174,2,0,2,0.0160858780470208
"pl28",3.22222222222222,0.782608695652174,2,0,2,0.0160858780470208
"pl29",3.22222222222222,0.782608695652174,2,0,2,0.0160858780470208
"pl30",3.22222222222222,0.782608695652174,2,0,2,0.0160858780470208
"pl31",3.22222222222222,0.782608695652174,2,0,2,0.0160858780470208
"pl32",3,0.833684210526316,2,0,2,0.0228896938054978
"pl33",3,0.473684210526316,1,0,1,0.0188358485628536
"pl34",3.22222222222222,0.391304347826087,1,0,1,0.00808450484338038
"pl35",5,0.257142857142857,1,0,1,0.00165478865150965
"pl36",3.44444444444444,0.36,1,0,1,0.00405384524264425
"disp1",1,10.713678939179,7,19,17,0.263006611535297
"disp2",2.33333333333333,7.34713329386098,5,8,16,0.204742061383408
"disp3",2.55555555555556,6.70713329386098,5,9,16,0.192154163870975
"disp4",2.55555555555556,6.3158289460349,5,9,15,0.179939749829876
"disp5",2.11111111111111,7.26146997167592,5,13,15,0.185749960237953
"disp6",1.22222222222222,9.23183525856295,7,16,14,0.225271920282726
"disp7",1.44444444444444,8.19176085726093,7,12,12,0.181732154390166
"disp8",1,8.35296282664704,7,4,11,0.205037822315829
"disp9",2.55555555555556,4.06589180934009,4,13,10,0.0797254473665156
"disp10",1,7.93500617030029,7,2,10,0.181005816768358
"disp11",2.55555555555556,3.75554698175388,4,10,9,0.0789056436435942
"disp12",1.44444444444444,6.80955044955045,7,7,9,0.144882357690884
"disp13",1.22222222222222,7.2426984779926,7,2,9,0.163905593558262
"disp14",1.44444444444444,6.5503907856849,7,2,8,0.148519793959
"disp15",1.66666666666667,5.77228336880511,6,3,8,0.135138079812374
"disp16",1.44444444444444,5.89510489510489,7,0,7,0.141162291265407
"disp17",2.77777777777778,2.00929693961952,3,3,5,0.0399770464345835
"disp18",2.55555555555556,1.9017938583156,3,0,3,0.0630565020491434
"disp19",3.88888888888889,0.866666666666667,2,1,3,0.0163187193395849
