"","Network","Number","Species","Plants","Pollinators","Interactions","MaxKcore","MeanKdegree","MeanKradius","MaxKradius","NODF","WNODF","wine","Cscore","Ntemperature","Modularity","RemovedLinks","SpecRadius","MatrixClass","Type","RndCorr","Asimetria"
"NA","M_PL_001.csv","01",185,84,101,361,4,1.55935645339022,3.01483794231341,4.9,14.4634525632651,0,0.494744987772204,0.770880661361897,2.82304936672892,0.446094643227108,NA,8.81904801147881,"Binary","Pollinator",-0.846745854911765,0.0470914127423823
"2","M_PL_002.csv","02",107,43,64,196,3,1.40201256412838,3.04376707915843,5.17391304347826,15.3606300060565,0,0.376438040676986,0.773171669292932,7.45794087258153,0.476429092044981,NA,6.51890651008106,"Binary","Pollinator",-0.720006473742029,0.107142857142857
"5","M_PL_005.csv","05",371,96,275,923,8,2.53912308274828,2.80332409972299,4.875,14.7437257852211,0,0.539603342291881,0.790717462939862,1.72071800357445,0.240875119875013,NA,15.7423655691958,"Binary","Pollinator",-0.779737403504018,0.193932827735645
"8","M_PL_008.csv","08",49,11,38,106,4,2.19313161963824,2.36873840445269,3.5,35.9711751895129,0,0.20496161799703,0.506697966055109,30.9571084193959,0.210484158063368,NA,6.63707571638493,"Binary","Pollinator",-0.419082924611521,0.254716981132075
"9","M_PL_009.csv","09",142,24,118,242,4,1.54073138597718,2.81335565842608,4.84615384615385,15.3927062397601,0,0.428353907432231,0.74433714881428,10.2019445168203,0.436266306946247,NA,7.91211958092978,"Binary","Pollinator",-0.740787265609436,0.388429752066116
"10","M_PL_010.csv","10",107,31,76,456,8,4.56899679279293,2.37727496310871,3.10526315789474,35.1698727203785,0,0.333644246149546,0.456148233811477,25.0016013146909,0.0249980763311788,NA,14.0162089289975,"Binary","Pollinator",-0.904891435488979,0.0986842105263158
"12","M_PL_012.csv","12",84,29,55,145,4,2.00601065601066,2.50892857142857,3.75,30.4021742805177,0,0.672865092966225,0.570351020152031,4.54063177296899,0.419762187871581,NA,7.5067507845219,"Binary","Pollinator",-0.89287295509486,0.179310344827586
"14","M_PL_014.csv","14",110,29,81,179,3,1.4768046819287,2.80418771043771,4.75,25.6823343404528,0,0.590268419141157,0.781488452843279,4.53783774446909,0.440591741830779,NA,7.79118719919175,"Binary","Pollinator",-0.803013280571959,0.290502793296089
"15","M_PL_015.csv","15",797,131,666,2933,9,2.89694691158158,2.88235417156901,4.63636363636364,9.17096436275865,0,0.463694171375661,0.75077850689421,3.18219505350193,0.350539535708793,NA,21.1080790791183,"Binary","Pollinator",-0.840103621685515,0.182407091714968
"16","M_PL_016.csv","16",205,26,179,412,5,1.88360532349221,2.72740315638451,4.29411764705882,21.9769106927802,0,0.489619677726701,0.641750526189583,7.23835378676173,0.420683499858611,NA,11.0131664129535,"Binary","Pollinator",-0.781424319892373,0.371359223300971
"18","M_PL_018.csv","18",144,39,105,383,5,2.26452227627625,2.74333333333333,4.2,19.7348956141181,0,0.393732042902828,0.649459288052984,11.7982248192173,0.24271758618574,NA,10.3305333083269,"Binary","Pollinator",-0.712822868705851,0.172323759791123
"20","M_PL_020.csv","20",111,20,91,190,4,1.84002042843721,2.5565749235474,4.75,37.116063676157,0,0.685105985844508,0.712325806800953,5.37632042234846,0.393891966759003,NA,8.95282773998882,"Binary","Pollinator",-0.818952319568407,0.373684210526316
"21","M_PL_021.csv","21",768,91,677,1193,5,1.23493038652792,3.05950803902707,4.89473684210526,7.55224071531784,0,0.699708878956227,0.828429481151131,0.686170984532347,0.577358213496023,NA,14.4764449354311,"Binary","Pollinator",-0.761439773665615,0.491198658843252
"23","M_PL_023.csv","23",95,23,72,125,3,1.35339598997494,2.74814814814815,5,22.8815233656814,0,0.581432293449919,0.845926459935993,4.81078385658836,0.538528,NA,6.73768911988336,"Binary","Pollinator",-0.643772719953911,0.392
"26","M_PL_026.csv","26",159,105,54,204,3,1.13284784347028,2.85434343434343,4.83333333333333,25.1322939786153,0,0.778352218112393,0.411457348307892,0.711192679986807,0.557646097654748,NA,9.16942630895117,"Binary","Pollinator",-0.77052053338772,0.25
"27","M_PL_027.csv","27",78,18,60,120,3,1.19612474670155,2.95623931623932,4.23076923076923,13.9433691344768,0,0.200690104152017,0.760121673435555,20.3286304600362,0.548993055555556,NA,5.22996112436902,"Binary","Pollinator",-0.127739390755069,0.35
"28","M_PL_028.csv","28",180,41,139,374,5,2.11494096337425,2.75218253968254,5,16.4333039199003,0,0.487319815133001,0.763057139019276,5.2594486632369,0.367003631788155,NA,9.39553991020737,"Binary","Pollinator",-0.745051842481961,0.262032085561497
"29","M_PL_029.csv","29",167,49,118,346,5,1.93592109966273,2.7622754491018,5,15.7720749576541,0,0.527083966737419,0.688519628777549,4.67780548279135,0.413695746600288,NA,9.11061314659551,"Binary","Pollinator",-0.808502557567445,0.199421965317919
"30","M_PL_030.csv","30",81,28,53,109,2,0.826331909554043,3.53506493506494,6,11.1605109013993,0,0.171553097735348,0.863830099941211,14.8320788885781,0.544861543641108,NA,4.77852267585089,"Binary","Pollinator",-0.235566168596095,0.229357798165138
"31","M_PL_031.csv","31",97,48,49,156,4,1.57357852872707,3.38754578754579,7,12.3364579093746,0,0.242500391492367,0.8106230952783,8.48605116202438,0.536365877712031,NA,6.48471888305249,"Binary","Pollinator",-0.24324306456623,0.00641025641025641
"34","M_PL_034.csv","34",154,26,128,312,5,2.09710908100746,2.60774325012736,3,25.0101633292327,0,0.628741052165953,0.482552047189781,5.14336287712973,0.422588962853386,NA,10.2810660505006,"Binary","Pollinator",-0.816670057617643,0.326923076923077
"35","M_PL_035.csv","35",97,61,36,178,4,1.73832827935086,2.85419734904271,6.42857142857143,25.7421533822746,0,0.509333133070283,0.659546662480406,6.05524360267184,0.434651559146572,NA,7.28083467073897,"Binary","Pollinator",-0.635429653661492,0.140449438202247
"39","M_PL_039.csv","39",68,17,51,129,4,1.99434192053471,2.60971055088702,4.77777777777778,25.3445715635652,0,0.381747755842875,0.48937302045001,17.7312865824496,0.448981431404363,NA,6.92290963451981,"Binary","Pollinator",-0.478673051268625,0.263565891472868
"43","M_PL_043.csv","43",110,28,82,250,4,1.98532864521691,2.71285583103765,4.11111111111111,22.1664165691168,0,0.378255864905665,0.634598793260229,11.9386006530494,0.28936,NA,8.63971466423139,"Binary","Pollinator",-0.609971292981026,0.216
"46","M_PL_046.csv","46",60,16,44,278,8,6.44603225997999,1.95769230769231,2.84615384615385,63.5971859522108,0,0.418061637971683,0.168214508645868,21.0385620552846,-0.0266614046891983,NA,13.38266204132,"Binary","Pollinator",-0.874474848125003,0.100719424460432
"47","M_PL_047.csv","47",205,19,186,425,6,2.31422393055279,2.55707317073171,3.6,29.958126191459,0,0.664304257753346,0.511190073287926,7.62077969453419,0.287454671280277,NA,12.5333048551174,"Binary","Pollinator",-0.851988506427299,0.392941176470588
"48","M_PL_048.csv","48",266,30,236,671,7,2.77974082721753,2.61458935801041,3.625,26.2296064171276,0,0.620809607616359,0.619844767363875,6.03123078685614,0.208004157773281,NA,15.2577611862556,"Binary","Pollinator",-0.850696666263432,0.307004470938897
"49","M_PL_049.csv","49",262,37,225,590,6,2.07608647364656,2.76293190036159,5,18.1330572223841,0,0.50052339611941,0.622222930447836,5.10790609328532,0.383381212295317,NA,12.5699229046242,"Binary","Pollinator",-0.797710925052058,0.31864406779661
"53","M_PL_053.csv","53",393,99,294,589,3,0.917071269989696,3.79664224664225,6.42222222222222,4.70965677853414,0,0.468561101635939,0.919440464311732,1.31579400610025,0.575963980272165,NA,7.65680279287552,"Binary","Pollinator",-0.748995064670057,0.33106960950764
"66","M_SD_007.csv","07",79,72,7,143,3,2.34073098572273,2.367472190257,3.33333333333333,51.6734575087311,0,0.639673036272508,0.325013041210224,21.6746602763006,0.284145924006064,NA,9.62299713588561,"Binary","Disperser",-0.00395759335435479,0.454545454545455
"72","M_SD_013.csv","13",55,36,19,197,7,4.37709559186771,2.30909090909091,5,37.3678779952188,0,0.159110553493318,0.568202170789094,35.5202204733438,0.331894663608957,NA,9.86151272230295,"Binary","Disperser",-0.727598100097681,0.0862944162436548
"73","M_SD_014.csv","14",33,16,17,121,5,5.15504335731609,1.86565656565657,2.66666666666667,78.755788482351,0,0.697659893668049,NA,14.2085854633866,0.0783416433303736,NA,9.09212169566029,"Binary","Disperser",-0.780587171541517,0.00826446280991736
"75","M_SD_016.csv","16",85,24,61,500,11,8.39966587173837,2.0076124567474,2.88235294117647,58.8381063116065,0,0.463381731376248,0.189039515195847,23.9812830586673,0.00494999999999997,NA,17.7643913921358,"Binary","Disperser",-0.950516527143577,0.074
