"","Network","type","null_method","cycles","NODF","media_nodf","sd_nodf","z_nodf","Modularity","media_modularity","sd_modularity","z_modularity","MeanKradius","media_MeanKradius","sd_MeanKradius","z_MeanKradius","specradius","media_specradius","sd_specradius","z_specradius"
"NA","M_SD_030.csv","Binary",5,1000,66.6666666666667,33.5791666666667,13.770386601627,2.4028010946396,0.231404958677686,0.325453825911142,0.0708399739863618,-1.32762424858544,1.5,1.93371397316545,0.377952502949791,-1.14753565535473,2.97319831131218,2.37209157389116,0.23180544914449,2.59315188508075
"NA88","M_SD_029.csv","Binary",5,1000,81.25,32.9989583333333,15.2284286002568,3.16848461080567,0.265,0.364851799650416,0.0726448800967025,-1.37451943643511,1.51851851851852,1.98313065878698,0.433630917607209,-1.07144606485214,2.79860887845859,2.26787692388587,0.225601822144304,2.35251625863749
"NA87","M_SD_028.csv","Binary",5,1000,89.4736842105263,38.1600438596491,10.6670689433446,4.81047236344082,0.0170118343195265,0.239158321087948,0.0644033975723942,-3.44929763245351,1.38461538461538,1.92842439301439,0.165059144662606,-3.29463120332168,4.66136278942368,3.46941837951534,0.270630122454723,4.40433015769615
"NA86","M_SD_027.csv","Binary",5,1000,73.6111111111111,34.4923770943563,8.33144939463902,4.6953095630547,0.00104058272632676,0.256093462759534,0.0594873016602667,-4.28751805704383,1.53125,1.9424375225469,0.133815191232036,-3.07280151648775,5.00055964505247,3.79612733939176,0.269797680124164,4.46420556732144
"NA85","M_SD_026.csv","Binary",5,1000,100,37.0166666666667,24.6663814699129,2.55340790095855,0.166666666666667,0.283382083333333,0.0869858071592153,-1.34177540541798,1.33333333333333,1.77087689948418,0.316339954560825,-1.38314354491922,2.24697960371747,1.90210622385467,0.224536878545584,1.53593201302469
"NA84","M_SD_025.csv","Binary",5,1000,66.6666666666667,31.759537037037,9.82950012458632,3.55126193470583,0.189049586776859,0.29744073774502,0.0600044946669543,-1.80638386457162,1.69230769230769,2.09879332045999,0.158725136921802,-2.56094047883893,3.89152538427759,3.14454628812832,0.253272386183168,2.9493112431493
"NA83","M_SD_024.csv","Binary",5,1000,56.8281335522715,31.5109332238643,6.47198963821237,3.91181101077908,0.120625,0.274927988706187,0.0529097578631943,-2.91634274919872,1.99248120300752,2.1190134520794,0.144992180976675,-0.872683259328535,5.03782576978208,4.08227362062104,0.258418683341548,3.69768987599899
"NA82","M_SD_023.csv","Weighted",2,1000,66.797350519155,45.4988083303497,5.36769355216875,3.96791321669248,0.216412742382271,0.255745691209494,0.0458010514217348,-0.858778294520917,2.03188405797101,2.0811569548483,0.0718759750068229,-0.685526657170343,4.90399931529599,4.61426282608212,0.113699336043831,2.54826896352482
"NA81","M_SD_022.csv","Binary",5,1000,16.8095606815512,11.0486003176081,0.455589736789348,12.6450617710181,0.199499698004442,0.168344570844879,0.018675389129239,1.66824514038024,2.7968010136437,2.86098131771738,0.0266858305964004,-2.40503303211174,16.5956223497664,13.1464354029787,0.268778479945019,12.8328240694467
"NA80","M_SD_021.csv","Binary",5,1000,61.5233312408454,29.7675376202703,3.23305115848855,9.82223666247859,0.176912445165555,0.248831162975614,0.0387922096942321,-1.85394743885272,2.18695652173913,2.40708682465498,0.10702397385184,-2.05683170782451,8.3840888351744,6.42397684287755,0.255579338678844,7.66928971030745
"NA79","M_SD_020.csv","Weighted",2,1000,53.5537134631337,53.9004320206784,2.88874005286159,-0.120024145890575,0.1326,0.0993504666666667,0.0310594671901533,1.07051203196024,2.30721003134796,2.16912181213756,0.0527938592489141,2.61561138312198,8.64471260000542,9.44111154363656,0.168115649191882,-4.73720886460819
"NA78","M_SD_019.csv","Binary",5,1000,32.8719104670115,17.0151664408378,0.940335492418348,16.8628581543736,0.328526724923121,0.208416931217844,0.0228234039105574,5.26257144534513,2.61616161616162,2.75729570688998,0.0395958783745892,-3.56436317419697,15.0614757521381,11.8952021815382,0.266119601231,11.8979344473446
"NA77","M_SD_018.csv","Binary",5,1000,11.2060500475135,6.68567372329567,1.17161442172084,3.85824571669096,0.590335169880625,0.650906646033241,0.0323638153392215,-1.87158020516853,3.41320754716981,4.11176599737427,0.506853858500937,-1.37822458779441,4.04163696075824,3.37421321633278,0.224186383331408,2.97709314235572
"NA76","M_SD_017.csv","Binary",5,1000,60.1164638664639,32.4161248829999,5.45390049012566,5.0789960384528,0.0793788580246914,0.188559520262364,0.0525090894033,-2.07927167426391,1.63333333333333,2.05416084783272,0.0838566877456666,-5.0184132692641,6.92393348635913,5.42109206688545,0.261266090474019,5.75214876430023
"NA75","M_SD_016.csv","Binary",5,1000,58.8381063116065,35.2065269227433,1.46496208193829,16.1311884315778,0.00494999999999997,0.0253720801959866,0.0193774464190052,-1.05390977502365,2.0076124567474,2.30890196928233,0.0372569721185458,-8.08679544801081,17.7643913921358,12.8364771008511,0.276244029023144,17.8389893483338
"NA74","M_SD_015.csv","Binary",5,1000,67.3437980917205,32.9177281358404,5.07904158667671,6.77806420136158,0.0251487290427258,0.19074837955597,0.0511982877034209,-3.23447634562552,1.65,1.98410809921288,0.0624796893111601,-5.34746735933593,8.1176501085597,6.12793666638767,0.263139498718836,7.56143966169832
"NA73","M_SD_014.csv","Binary",5,1000,78.755788482351,37.9431487587933,3.7901026828531,10.7682147790347,0.0783416433303736,0.145559935773979,0.0458995570441058,-1.46446494851821,1.86565656565657,2.16294293092592,0.0571885186769066,-5.19835750509489,9.09212169566029,6.65810224722258,0.25628260150453,9.49740417081996
"NA72","M_SD_013.csv","Binary",5,1000,37.3678779952188,27.6633989246415,2.14041470853468,4.53392467912024,0.331894663608957,0.160659151532675,0.0381354656492125,4.49019067057906,2.30909090909091,2.3991983703053,0.0591865914854245,-1.52243031661288,9.86151272230295,7.78027979629783,0.253536245223525,8.20881812843072
"NA71","M_SD_012.csv","Weighted",2,1000,33.0367107639835,33.6340752004014,2.14102566915874,-0.279008535499097,0.232055732782886,0.189096711390505,0.0392962204816975,1.09321000507898,2.56971153846154,2.42148945445244,0.0558631785613351,2.65330559102286,7.72573267971537,7.85950491705256,0.172637087164782,-0.774875431079894
"NA70","M_SD_011.csv","Binary",5,1000,45.4109589041096,25.3030767558165,4.97113303008123,4.04492940072548,0.307378904481666,0.349312299332531,0.0433752563956355,-0.966758431774592,2.16761904761905,2.45233307884259,0.193187694252207,-1.47376898060519,4.8893215495575,4.07653011334077,0.242002586511017,3.35860640142259
"NA69","M_SD_010.csv","Weighted",2,1000,42.1338932091212,48.0590233510148,1.53504974287933,-3.85989455350142,0.0386532982686829,0.00239559135071955,0.0214129715618855,1.69325900485951,2.13977272727273,2.12678169547265,0.0292528651244361,0.444094338958421,11.161591886302,11.6928005572724,0.1589071283363,-3.34288761323617
"NA68","M_SD_009.csv","Weighted",2,1000,33.0172413793103,42.6078744339951,5.12533824921813,-1.87121953485662,0.320983379501385,0.294718144044321,0.046559780987892,0.564118535349083,2.14933333333333,2.12625270339598,0.112225520928493,0.205662934298667,4.53543024500787,4.56073096368893,0.160650744110783,-0.157488960422227
"NA67","M_SD_008.csv","Weighted",2,1000,56.3339387884842,55.8953489708944,5.23317071855198,0.0838095757195502,-0.0439669421487603,-0.0412233884297521,0.00884707455315543,-0.310108579115539,1.47863247863248,1.53006131112477,0.0418430162396163,-1.22908999193041,9.3550834160134,9.19162269624965,0.0975193094782569,1.67618824044485
"NA66","M_SD_007.csv","Binary",5,1000,51.6734575087311,24.052372535722,2.7850737334854,9.9175417300146,0.284145924006064,0.374597948813283,0.0318093379558706,-2.843568292201,2.367472190257,2.34116313784695,0.111553285198591,0.235842919042819,9.62299713588561,7.57413903226737,0.270842742283614,7.56475173136732
"NA65","M_SD_006.csv","Weighted",2,1000,32.7898715041572,37.7326878879498,3.3575309928492,-1.4721580811375,0.454440599769319,0.394902537485582,0.0293307233258077,2.02988728311893,2.34705882352941,2.26715923597325,0.0726440021836544,1.09987865693524,4.62429815276679,4.92716367892923,0.130262845592607,-2.32503385585209
"NA64","M_SD_005.csv","Weighted",2,1000,27.929579239103,26.0466804381685,2.28934487466609,0.822461841276381,0.530612244897959,0.467112869637651,0.0267384097371001,2.37483739252457,2.38235294117647,2.48190284989296,0.178711394130605,-0.557042874634688,4.43503269032923,4.41011677902665,0.156433460645944,0.159274820103693
"NA63","M_SD_004.csv","Weighted",2,1000,39.8198169636252,39.4254894277089,2.61086382532426,0.151033359952172,0.345761772853185,0.308805263157895,0.0490928433032042,0.752788129769592,2.19230769230769,2.32462586172287,0.0713211830600167,-1.85524361400222,6.80008799519762,6.62136337599811,0.157493258018834,1.13480806383557
"NA62","M_SD_003.csv","Weighted",2,1000,41.0856881214024,39.1105710440353,3.26005970684866,0.605853037972829,0.334018166089965,0.33706866349481,0.0390635159483176,-0.0780907025593951,2.45189701897019,2.34801664106237,0.0977512198880925,1.06270160133798,5.58592248034281,5.62729276665479,0.155231312882595,-0.266507353083272
"NA61","M_SD_002.csv","Weighted",2,1000,62.159270924241,61.8895776328319,2.5583216953384,0.105418052741583,0.0214674104936092,-0.0159918084881011,0.0331168767484037,1.1311217318679,1.85267857142857,1.90332440046065,0.0314217088406855,-1.61181014339048,9.01390301946669,9.12873016914984,0.112159941752424,-1.02378039689613
"NA60","M_SD_001.csv","Weighted",2,1000,40.7709750566893,46.2513447903708,5.15513011566189,-1.06309047700492,0.1752,0.2396588,0.0489271090967427,-1.31744550597802,2.16326530612245,2.10082044681509,0.0775653075539266,0.805061712208714,5.38119677089922,5.3380945122211,0.157318199197935,0.273981388662427
"NA59","M_PL_059.csv","Weighted",2,1000,76.8826312576312,41.5198462417212,5.05042171254176,7.00194697169412,0.0395754810553462,0.11509948422932,0.0454216041548073,-1.66273306677083,1.56923076923077,2.00637965922966,0.0594087022827416,-7.35833090442514,7.28974211830104,6.30610982410271,0.174733505393831,5.62932845639035
"NA58","M_PL_058.csv","Weighted",2,1000,26.6374053944299,34.6819230895569,1.78741726518328,-4.50063779276638,0.21892473540944,0.0880089326952368,0.0242325044434309,5.40248751505718,2.48470448470448,2.42580201549791,0.0528741704325229,1.11401216746746,11.1549641912703,11.6696030036721,0.195182611980979,-2.63670419807617
"NA57","M_PL_057.csv","Weighted",2,1000,7.03790650728083,8.2050422987219,0.18965680767684,-6.15393565745225,0.481282687717014,0.360158314344618,0.0193058202475822,6.27398224054039,2.87688064192578,2.93714363855645,0.0302820412220434,-1.99005728143591,17.4778950905382,18.4396688215246,0.247510212943989,-3.88579412359056
"NA56","M_PL_056.csv","Weighted",2,1000,6.85513763977502,9.06805995051286,0.369803308357141,-5.98405222648977,0.455676663929316,0.371904127248593,0.0235796841742971,3.55274210042383,3.23569835148215,2.94810446770595,0.0569143701367503,5.05309789224038,10.8902406548736,12.3696957930325,0.239143811907018,-6.18646632066768
"NA55","M_PL_055.csv","Weighted",2,1000,8.71104374243325,9.94325554196151,0.495212369474173,-2.48824923504365,0.518017775528771,0.472866761591507,0.015178522400546,2.97466464427652,3.13037204341552,3.08552156295051,0.14502311084728,0.30926436623087,8.46610844546721,8.46786263252261,0.230356893369351,-0.00761508383683528
"NA54","M_PL_054.csv","Weighted",2,1000,8.08465495090882,11.47589720301,0.653642472718142,-5.1882219923667,0.456887448140592,0.417781113552647,0.0183615263128896,2.12979759533894,3.07461084272678,2.98219683633173,0.0713204775996646,1.29575697619124,10.8781128903978,12.2941312736741,0.24739087931298,-5.72380997718539
